Day,Confirmed,Deaths,Recovered,Active
2020-01-22,1,0,0,1
2020-01-23,1,0,0,1
2020-01-24,2,0,0,2
2020-01-25,3,0,0,3
2020-01-26,4,0,0,4
2020-01-27,7,0,0,7
2020-01-28,11,0,0,11
2020-01-29,12,0,0,12
2020-01-30,17,0,0,17
2020-01-31,21,0,0,21
2020-02-01,26,0,0,26
2020-02-02,28,0,0,28
2020-02-03,31,0,1,30
2020-02-04,34,0,1,33
2020-02-05,34,0,1,33
2020-02-06,40,0,1,39
2020-02-07,43,0,5,38
2020-02-08,45,0,15,30
2020-02-09,45,0,13,32
2020-02-10,49,0,13,36
2020-02-11,53,0,22,31
2020-02-12,58,0,24,34
2020-02-13,64,0,24,40
2020-02-14,67,0,24,43
2020-02-15,70,0,33,37
2020-02-16,70,0,33,37
2020-02-17,70,0,35,35
2020-02-18,70,0,42,28
2020-02-19,71,0,42,29
2020-02-20,71,0,44,27
2020-02-21,71,0,48,23
2020-02-22,71,0,48,23
2020-02-23,71,0,56,15
2020-02-24,71,0,58,13
2020-02-25,71,0,61,10
2020-02-26,71,0,65,6
2020-02-27,72,0,68,4
2020-02-28,72,0,68,4
2020-02-29,73,0,69,4
2020-03-01,73,0,69,4
2020-03-02,74,0,69,5
2020-03-03,74,0,69,5
2020-03-04,75,0,69,6
2020-03-05,75,0,69,6
2020-03-06,75,0,71,4
2020-03-07,75,0,71,4
2020-03-08,75,0,71,4
2020-03-09,75,0,71,4
2020-03-10,75,0,71,4
