Day,Confirmed,Deaths,Recovered,Active
2020-01-22,1,0,0,1
2020-01-23,1,0,0,1
2020-01-24,1,0,0,1
2020-01-25,6,0,0,6
2020-01-26,9,0,0,9
2020-01-27,13,0,0,13
2020-01-28,27,0,0,27
2020-01-29,27,0,1,26
2020-01-30,35,0,1,34
2020-01-31,39,0,1,38
2020-02-01,47,0,1,46
2020-02-02,66,0,3,63
2020-02-03,74,0,2,72
2020-02-04,81,0,4,77
2020-02-05,81,0,5,76
2020-02-06,96,0,12,84
2020-02-07,104,0,15,89
2020-02-08,115,0,21,94
2020-02-09,119,0,25,94
2020-02-10,119,0,25,94
2020-02-11,124,0,30,94
2020-02-12,126,0,33,93
2020-02-13,126,0,36,90
2020-02-14,127,0,38,89
2020-02-15,128,0,46,82
2020-02-16,129,0,50,79
2020-02-17,130,0,53,77
2020-02-18,131,0,61,70
2020-02-19,131,0,68,63
2020-02-20,132,0,76,56
2020-02-21,132,0,78,54
2020-02-22,132,0,81,51
2020-02-23,132,0,88,44
2020-02-24,133,0,94,39
2020-02-25,133,0,98,35
2020-02-26,133,0,104,29
2020-02-27,133,0,107,26
2020-02-28,133,0,112,21
2020-02-29,133,0,114,19
2020-03-01,133,0,116,17
2020-03-02,133,0,119,14
2020-03-03,133,0,124,9
2020-03-04,133,0,124,9
2020-03-05,133,0,126,7
2020-03-06,133,0,126,7
2020-03-07,133,0,126,7
2020-03-08,133,0,126,7
2020-03-09,133,0,127,6
2020-03-10,133,0,131,2
